,AC,Reserved,General,Female,Male
347,S21A7P15_parsed.csv,110,643,377,371
348,S21A20P7_parsed.csv,60,468,252,265
349,S21A15P3_parsed.csv,70,448,270,241
350,S21A8P10_parsed.csv,69,883,475,467
351,S21A19P25_parsed.csv,56,509,285,276
352,S21A2P4_parsed.csv,78,666,389,349
353,S21A13P13_parsed.csv,80,654,349,371
354,S21A4P8_parsed.csv,82,808,439,449
355,S21A13P22_parsed.csv,81,710,424,361
356,S21A29P17_parsed.csv,98,792,455,427
357,S21A23P3_parsed.csv,105,724,386,431
358,S21A19P9_parsed.csv,23,391,190,218
359,S21A23P16_parsed.csv,105,700,411,389
360,S21A27P12_parsed.csv,138,887,464,545
361,S21A12P10_parsed.csv,48,848,447,443
362,S21A4P5_parsed.csv,119,674,389,400
363,S21A32P25_parsed.csv,3,27,0,30
364,S21A23P2_parsed.csv,63,566,281,340
365,S21A18P6_parsed.csv,33,569,327,268
366,S21A6P5(1)_parsed.csv,55,591,314,329
367,S21A20P11_parsed.csv,73,839,475,419
368,S21A8P5_parsed.csv,50,982,508,520
369,S21A23P15_parsed.csv,82,650,351,376
370,S21A24P6_parsed.csv,117,919,495,535
371,S21A22P2_parsed.csv,34,628,345,313
372,S21A8P6_parsed.csv,59,628,331,351
373,S21A26P11_parsed.csv,98,731,405,420
374,S21A17P10_parsed.csv,68,679,374,367
375,S21A31P7_parsed.csv,55,454,281,224
376,S21A15P9_parsed.csv,54,663,322,391
377,S21A1P3_parsed.csv,96,672,370,391
378,S21A4P12_parsed.csv,140,623,385,375
379,S21A7P18_parsed.csv,110,392,241,255
380,S21A5P9_parsed.csv,266,822,554,521
381,S21A19P11_parsed.csv,30,355,189,193
382,S21A18P7_parsed.csv,47,573,297,318
383,S21A7P6_parsed.csv,97,648,374,367
384,S21A10P22_parsed.csv,49,597,333,313
385,S21A6P15_parsed.csv,92,853,425,516
386,S21A26P9_parsed.csv,108,741,381,461
387,S21A29P3_parsed.csv,83,795,443,429
388,S21A31P5_parsed.csv,69,576,350,288
389,S21A24P13_parsed.csv,93,821,415,480
390,S21A18P2_parsed.csv,96,924,490,519
391,S21A8P4_parsed.csv,97,1119,571,636
392,S21A17P17_parsed.csv,87,560,305,339
393,S21A23P1_parsed.csv,108,1044,557,578
394,S21A18P8_parsed.csv,34,513,273,268
395,S21A13P7_parsed.csv,101,476,261,311
396,S21A19P14_parsed.csv,67,491,260,294
397,S21A24P10_parsed.csv,41,798,421,397
398,S21A6P7_parsed.csv,41,431,233,234
399,S21A32P20_parsed.csv,3,22,1,24
400,S21A24P11_parsed.csv,95,1054,595,531
401,S21A2P11_parsed.csv,89,545,319,305
402,S21A32P12_parsed.csv,2,5,0,7
403,S21A20P10_parsed.csv,51,616,313,347
404,S21A7P4_parsed.csv,48,752,393,402
