,AC,Reserved,General,Female,Male
1522,60_S17A60P13_parsed.csv,156,441,275,313
1523,36_S17A36P2_parsed.csv,38,289,157,165
1524,12_S17A12P4_parsed.csv,126,538,342,318
1525,49_S17A49P14_parsed.csv,141,290,205,221
1526,34_S17A34P12_parsed.csv,15,76,45,46
1527,55_S17A55P27_parsed.csv,80,310,182,205
1528,35_S17A35P30_parsed.csv,114,942,547,502
1529,3_S17A3P5_parsed.csv,175,826,515,477
1530,50_S17A50P21_parsed.csv,209,498,345,356
1531,35_S17A35P35_parsed.csv,25,234,136,120
1532,45_S17A45P5_parsed.csv,194,462,290,354
1533,29_S17A29P18_parsed.csv,99,399,236,260
1534,2_S17A2P60_parsed.csv,217,728,504,438
1535,6_S17A6P10_parsed.csv,169,508,314,352
1536,54_S17A54P23_parsed.csv,172,423,272,320
1537,20_S17A20P47_parsed.csv,160,503,326,332
1538,59_S17A59P28_parsed.csv,170,636,395,407
1539,33_S17A33P25_parsed.csv,143,793,456,459
1540,50_S17A50P50_parsed.csv,165,285,222,225
1541,9_S17A9P33_parsed.csv,181,664,417,422
1542,12_S17A12P15_parsed.csv,156,514,336,322
1543,3_S17A3P8_parsed.csv,189,752,490,445
1544,50_S17A50P29_parsed.csv,136,349,224,261
1545,18_S17A18P34_parsed.csv,26,190,114,98
1546,50_S17A50P55_parsed.csv,109,206,147,165
1547,34_S17A34P14_parsed.csv,37,242,156,120
1548,38_S17A38P39_parsed.csv,125,316,218,221
1549,47_S17A47P10_parsed.csv,150,387,264,263
1550,11_S17A11P11_parsed.csv,157,566,385,338
1551,36_S17A36P32_parsed.csv,48,343,193,194
1552,58_S17A58P21_parsed.csv,149,273,184,232
1553,6_S17A6P39_parsed.csv,99,123,121,99
1554,33_S17A33P13_parsed.csv,84,664,391,351
1555,25_S17A25P24_parsed.csv,231,613,424,417
1556,50_S17A50P6_parsed.csv,161,339,246,249
1557,60_S17A60P37_parsed.csv,226,415,315,316
1558,35_S17A35P7_parsed.csv,82,546,315,301
1559,2_S17A2P71_parsed.csv,60,399,226,230
1560,54_S17A54P15_parsed.csv,365,517,435,437
1561,41_S17A41P3_parsed.csv,162,548,347,359
1562,22_S17A22P19_parsed.csv,171,656,438,388
1563,50_S17A50P61_parsed.csv,280,497,382,382
1564,1_S17A1P16_parsed.csv,81,215,160,136
1565,33_S17A33P18_parsed.csv,32,220,123,127
1566,60_S17A60P7_parsed.csv,286,882,548,586
1567,22_S17A22P25_parsed.csv,36,125,79,79
1568,4_S17A4P23_parsed.csv,210,908,589,524
1569,14_S17A14P20_parsed.csv,47,259,160,143
1570,60_S17A60P39_parsed.csv,54,98,75,74
1571,49_S17A49P39_parsed.csv,33,85,61,57
1572,20_S17A20P9_parsed.csv,70,192,133,125
1573,7_S17A7P3_parsed.csv,94,378,248,222
1574,30_S17A30P25_parsed.csv,99,384,239,244
1575,10_S17A10P2_parsed.csv,199,773,502,469
1576,31_S17A31P10_parsed.csv,82,836,476,438
1577,13_S17A13P21_parsed.csv,76,475,268,276
1578,7_S17A7P53_parsed.csv,121,388,244,258
1579,59_S17A59P16_parsed.csv,58,391,234,215
1580,9_S17A9P6_parsed.csv,161,871,512,517
1581,52_S17A52P19_parsed.csv,131,481,289,311
1582,11_S17A11P2_parsed.csv,153,634,416,371
1583,7_S17A7P19_parsed.csv,36,184,128,92
1584,58_S17A58P18_parsed.csv,248,515,393,363
1585,34_S17A34P8_parsed.csv,83,591,319,355
1586,60_S17A60P63_parsed.csv,32,38,30,37
1587,27_S17A27P8_parsed.csv,169,475,310,315
1588,55_S17A55P26_parsed.csv,67,262,148,180
1589,3_S17A3P32_parsed.csv,178,636,420,391
