,AC,Reserved,General,Female,Male
466,6_S05A6P38_parsed.csv,41,478,247,272
467,24_S05A24P27_parsed.csv,72,583,296,322
468,37_S05A37P30_parsed.csv,71,685,392,350
469,1_S05A1P7_parsed.csv,35,671,346,343
470,34_S05A34P19_parsed.csv,80,494,299,273
471,29_S05A29P14_parsed.csv,111,755,420,442
472,14_S05A14P1_parsed.csv,57,567,323,288
473,23_S05A23P34_parsed.csv,37,556,291,292
474,9_S05A9P36_parsed.csv,110,677,407,369
475,22_S05A22P44_parsed.csv,93,629,362,359
476,6_S05A6P4_parsed.csv,32,686,350,352
477,37_S05A37P20_parsed.csv,53,476,269,251
478,12_S05A12P20_parsed.csv,47,537,288,279
479,6_S05A6P25_parsed.csv,50,515,294,267
480,30_S05A30P5_parsed.csv,77,722,398,391
481,18_S05A18P36_parsed.csv,23,329,180,166
482,40_S05A40P12_parsed.csv,61,563,335,284
483,13_S05A13P8_parsed.csv,53,878,429,499
484,29_S05A29P38_parsed.csv,54,475,264,261
485,19_S05A19P21_parsed.csv,19,160,87,85
486,35_S05A35P29_parsed.csv,87,513,329,262
487,5_S05A5P42_parsed.csv,88,737,401,416
488,17_S05A17P20_parsed.csv,3,472,225,244
489,39_S05A39P5_parsed.csv,73,731,412,379
490,7_S05A7P9_parsed.csv,48,411,227,231
491,12_S05A12P22_parsed.csv,87,572,320,332
492,5_S05A5P40_parsed.csv,61,697,367,391
493,32_S05A32P33_parsed.csv,64,444,281,224
494,35_S05A35P40_parsed.csv,119,1014,535,588
495,37_S05A37P26_parsed.csv,81,396,238,234
496,18_S05A18P33_parsed.csv,108,399,231,275
497,40_S05A40P51_parsed.csv,17,810,384,435
498,7_S05A7P34_parsed.csv,88,703,405,382
499,22_S05A22P5_parsed.csv,18,856,436,433
500,28_S05A28P27_parsed.csv,36,341,192,183
501,37_S05A37P23_parsed.csv,33,345,197,179
502,31_S05A31P12_parsed.csv,86,868,492,453
503,34_S05A34P41_parsed.csv,118,779,447,440
504,40_S05A40P44_parsed.csv,65,514,299,270
505,22_S05A22P38_parsed.csv,87,405,244,242
506,15_S05A15P28_parsed.csv,110,645,389,357
507,14_S05A14P22_parsed.csv,39,428,244,214
508,13_S05A13P6_parsed.csv,47,369,206,208
509,12_S05A12P2_parsed.csv,71,586,331,319
510,37_S05A37P3_parsed.csv,60,549,299,304
511,22_S05A22P18_parsed.csv,111,549,339,316
512,19_S05A19P24_parsed.csv,98,695,391,398
